ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,total_route_flights,distinct_departure_hubs,has_aviationstack_context,airborne_ratio,on_ground_ratio,predicted_anomaly,predicted_probability
2026-04-01T17:03:29.226479+00:00,American Airlines,528,188.73,8582.97,58,470,517.0,11.0,1,35.0,7.0,1,0.8901515151515151,0.1098484848484848,1,0.8678798888499659
2026-04-01T17:03:29.226479+00:00,British Airways,85,194.54,8593.76,4,81,86.0,-1.0,0,22.0,9.0,1,0.9529411764705882,0.0470588235294117,0,0.32216950432506647
2026-04-01T17:03:29.226479+00:00,Cathay Pacific,103,89.01,3185.9,10,93,105.0,-2.0,0,20.0,5.0,1,0.9029126213592232,0.0970873786407767,1,0.6601404562506397
2026-04-01T17:03:29.226479+00:00,Delta Air Lines,495,194.92,8523.96,36,459,498.0,-3.0,0,63.0,6.0,1,0.9272727272727272,0.0727272727272727,1,0.8464993113445383
2026-04-01T17:03:29.226479+00:00,Emirates,58,241.3,10315.07,1,57,57.0,1.0,0,36.0,8.0,1,0.9827586206896552,0.0172413793103448,0,0.2556110192672451
2026-04-01T17:03:29.226479+00:00,Etihad Airways,15,224.02,9780.52,0,15,15.0,0.0,0,19.0,7.0,1,1.0,0.0,0,0.1803329426030106
2026-04-01T17:03:29.226479+00:00,IndiGo,86,173.58,7232.85,10,76,92.0,-6.0,1,62.0,9.0,1,0.8837209302325582,0.1162790697674418,1,0.6156719296845937
2026-04-01T17:03:29.226479+00:00,Japan Airlines,9,196.9,9673.59,1,8,9.0,0.0,0,23.0,8.0,1,0.8888888888888888,0.1111111111111111,0,0.09311554128534202
2026-04-01T17:03:29.226479+00:00,KLM,83,184.7,7975.89,5,78,83.0,0.0,0,52.0,6.0,1,0.9397590361445785,0.0602409638554216,0,0.4842863062904889
2026-04-01T17:03:29.226479+00:00,Lufthansa,119,180.72,7635.31,10,109,119.0,0.0,0,34.0,6.0,1,0.9159663865546218,0.0840336134453781,1,0.5259641728789988
2026-04-01T17:03:29.226479+00:00,Qantas,10,173.36,9334.5,2,8,9.0,1.0,0,23.0,8.0,1,0.8,0.2,0,0.08607205429593745
2026-04-01T17:03:29.226479+00:00,Qatar Airways,22,233.24,10287.69,0,22,22.0,0.0,0,14.0,4.0,1,1.0,0.0,0,0.06512788834502563
2026-04-01T17:03:29.226479+00:00,Singapore Airlines,20,251.28,10141.46,0,20,21.0,-1.0,0,23.0,7.0,1,1.0,0.0,0,0.2622290735603442
2026-04-01T17:03:29.226479+00:00,SpiceJet,11,171.32,7275.58,1,10,11.0,0.0,0,4.0,2.0,1,0.9090909090909092,0.0909090909090909,0,0.16757690744367837
2026-04-01T17:03:29.226479+00:00,Thai Airways,25,96.87,3971.06,4,21,23.0,2.0,0,0.0,0.0,0,0.84,0.16,0,0.015881219028649557
2026-04-01T17:03:29.226479+00:00,Turkish Airlines,112,195.05,8794.69,6,106,107.0,5.0,1,10.0,6.0,1,0.9464285714285714,0.0535714285714285,1,0.6701865223864217
2026-04-01T17:03:29.226479+00:00,United Airlines,441,204.42,9142.36,31,410,440.0,1.0,0,35.0,7.0,1,0.9297052154195012,0.0702947845804988,1,0.7509634483336609
2026-04-01T17:08:32.866092+00:00,ANA,16,205.47,9729.11,2,14,20.0,-4.0,0,27.0,6.0,1,0.875,0.125,0,0.18480567802218267
2026-04-01T17:08:32.866092+00:00,Air France,92,185.34,7764.52,4,88,91.0,1.0,0,41.0,8.0,1,0.9565217391304348,0.0434782608695652,0,0.4128745602975146
2026-04-01T17:08:32.866092+00:00,Air India,54,193.21,8480.3,4,50,56.0,-2.0,0,40.0,6.0,1,0.925925925925926,0.074074074074074,0,0.38736439454300237
2026-04-01T17:08:32.866092+00:00,American Airlines,527,187.38,8595.9,61,466,528.0,-1.0,0,35.0,7.0,1,0.8842504743833017,0.1157495256166983,1,0.8827283059415041
2026-04-01T17:08:32.866092+00:00,British Airways,83,195.29,8530.69,3,80,85.0,-2.0,0,22.0,9.0,1,0.963855421686747,0.036144578313253,0,0.31925211995949593
2026-04-01T17:08:32.866092+00:00,Cathay Pacific,99,92.15,3304.94,10,89,103.0,-4.0,0,20.0,5.0,1,0.898989898989899,0.101010101010101,1,0.6447694125244067
2026-04-01T17:08:32.866092+00:00,Delta Air Lines,505,194.88,8384.26,33,472,495.0,10.0,1,63.0,6.0,1,0.9346534653465348,0.0653465346534653,1,0.8347081326370206
2026-04-01T17:08:32.866092+00:00,Emirates,55,240.04,10170.87,1,54,58.0,-3.0,0,36.0,8.0,1,0.9818181818181818,0.0181818181818181,0,0.25980722487529845
2026-04-01T17:08:32.866092+00:00,Etihad Airways,15,221.24,9392.92,0,15,15.0,0.0,0,19.0,7.0,1,1.0,0.0,0,0.19145585519445302
2026-04-01T17:08:32.866092+00:00,IndiGo,82,166.27,6972.09,10,72,86.0,-4.0,0,62.0,9.0,1,0.8780487804878049,0.1219512195121951,1,0.6350346571099116
2026-04-01T17:08:32.866092+00:00,Japan Airlines,11,187.27,9729.05,2,9,9.0,2.0,0,23.0,8.0,1,0.8181818181818182,0.1818181818181818,0,0.08469538934403374
2026-04-01T17:08:32.866092+00:00,KLM,84,184.09,7854.1,5,79,83.0,1.0,0,52.0,6.0,1,0.9404761904761904,0.0595238095238095,0,0.49035620548860703
2026-04-01T17:08:32.866092+00:00,Lufthansa,122,178.87,7661.57,10,112,119.0,3.0,0,34.0,6.0,1,0.918032786885246,0.081967213114754,1,0.5332691915571295
2026-04-01T17:08:32.866092+00:00,Qantas,10,211.67,9398.0,1,9,10.0,0.0,0,23.0,8.0,1,0.9,0.1,0,0.07744133853445585
2026-04-01T17:08:32.866092+00:00,Qatar Airways,24,238.35,9542.15,0,24,22.0,2.0,0,14.0,4.0,1,1.0,0.0,0,0.06696118644774125
2026-04-01T17:08:32.866092+00:00,Singapore Airlines,26,231.3,10174.61,2,24,20.0,6.0,1,23.0,7.0,1,0.9230769230769232,0.0769230769230769,0,0.2708439491677947
2026-04-01T17:08:32.866092+00:00,SpiceJet,11,167.68,6088.38,0,11,11.0,0.0,0,4.0,2.0,1,1.0,0.0,0,0.24015017406703465
2026-04-01T17:08:32.866092+00:00,Thai Airways,26,78.85,3450.27,2,24,25.0,1.0,0,0.0,0.0,0,0.9230769230769232,0.0769230769230769,0,0.024913275323453096
2026-04-01T17:08:32.866092+00:00,Turkish Airlines,117,193.87,9107.23,8,109,112.0,5.0,1,10.0,6.0,1,0.9316239316239316,0.0683760683760683,1,0.6766547300841551
2026-04-01T17:08:32.866092+00:00,United Airlines,453,201.0,8906.31,32,421,441.0,12.0,1,35.0,7.0,1,0.9293598233995584,0.0706401766004415,1,0.774298692200503
2026-04-01T17:13:36.447081+00:00,ANA,16,213.72,9325.86,1,15,16.0,0.0,0,27.0,6.0,1,0.9375,0.0625,0,0.20538735970923103
2026-04-01T17:13:36.447081+00:00,Air France,92,183.98,7529.75,2,90,92.0,0.0,0,41.0,8.0,1,0.9782608695652174,0.0217391304347826,0,0.41829445222710127
2026-04-01T17:13:36.447081+00:00,Air India,48,193.68,8251.27,3,45,54.0,-6.0,1,40.0,6.0,1,0.9375,0.0625,0,0.3884292882326672
2026-04-01T17:13:36.447081+00:00,American Airlines,512,189.42,8463.29,53,459,527.0,-15.0,1,35.0,7.0,1,0.896484375,0.103515625,1,0.8381129626148597
2026-04-01T17:13:36.447081+00:00,British Airways,84,197.9,8764.62,4,80,83.0,1.0,0,22.0,9.0,1,0.9523809523809524,0.0476190476190476,0,0.30935114740656927
2026-04-01T17:13:36.447081+00:00,Cathay Pacific,98,89.93,3381.6,12,86,99.0,-1.0,0,20.0,5.0,1,0.8775510204081632,0.1224489795918367,1,0.6525361179762796
2026-04-01T17:13:36.447081+00:00,Delta Air Lines,512,192.26,8491.66,41,471,505.0,7.0,1,63.0,6.0,1,0.919921875,0.080078125,1,0.8788724758200166
2026-04-01T17:13:36.447081+00:00,Emirates,57,242.1,10220.33,1,56,55.0,2.0,0,36.0,8.0,1,0.9824561403508772,0.0175438596491228,0,0.25545003590955323
2026-04-01T17:13:36.447081+00:00,Etihad Airways,16,234.44,10066.97,0,16,15.0,1.0,0,19.0,7.0,1,1.0,0.0,0,0.15994123119392084
2026-04-01T17:13:36.447081+00:00,IndiGo,78,163.63,6672.73,9,69,82.0,-4.0,0,62.0,9.0,1,0.8846153846153846,0.1153846153846153,1,0.6422665311443764
2026-04-01T17:13:36.447081+00:00,Japan Airlines,11,181.33,10932.8,3,8,11.0,0.0,0,23.0,8.0,1,0.7272727272727273,0.2727272727272727,0,0.06134035175242461
2026-04-01T17:13:36.447081+00:00,KLM,83,174.12,7930.33,11,72,84.0,-1.0,0,52.0,6.0,1,0.8674698795180723,0.1325301204819277,1,0.522157366606038
2026-04-01T17:13:36.447081+00:00,Lufthansa,126,173.19,7703.54,16,110,122.0,4.0,0,34.0,6.0,1,0.873015873015873,0.1269841269841269,1,0.580721906478552
2026-04-01T17:13:36.447081+00:00,Qantas,12,203.65,6793.87,0,12,10.0,2.0,0,23.0,8.0,1,1.0,0.0,0,0.14362859402522032
2026-04-01T17:13:36.447081+00:00,Qatar Airways,27,235.97,9248.14,0,27,24.0,3.0,0,14.0,4.0,1,1.0,0.0,0,0.07102192608998115
2026-04-01T17:13:36.447081+00:00,Singapore Airlines,24,242.55,10229.02,1,23,26.0,-2.0,0,23.0,7.0,1,0.9583333333333334,0.0416666666666666,0,0.2603523692140006
2026-04-01T17:13:36.447081+00:00,SpiceJet,9,165.35,6105.31,0,9,11.0,-2.0,0,4.0,2.0,1,1.0,0.0,0,0.24394297659312109
2026-04-01T17:13:36.447081+00:00,Thai Airways,21,91.62,3810.0,3,18,26.0,-5.0,1,0.0,0.0,0,0.8571428571428571,0.1428571428571428,0,0.017227706560964652
2026-04-01T17:13:36.447081+00:00,Turkish Airlines,120,201.9,9129.36,5,115,117.0,3.0,0,10.0,6.0,1,0.9583333333333334,0.0416666666666666,1,0.6463773046845277
2026-04-01T17:13:36.447081+00:00,United Airlines,471,195.34,8805.97,44,427,453.0,18.0,1,35.0,7.0,1,0.9065817409766456,0.0934182590233545,1,0.8621389837059796
2026-04-01T17:18:46.968873+00:00,ANA,14,225.38,9442.27,0,14,16.0,-2.0,0,27.0,6.0,1,1.0,0.0,0,0.210838985769851
2026-04-01T17:18:46.968873+00:00,Air France,94,176.6,7316.29,3,91,92.0,2.0,0,41.0,8.0,1,0.9680851063829788,0.0319148936170212,0,0.44761363281471783
2026-04-01T17:18:46.968873+00:00,Air India,51,192.59,8298.18,3,48,48.0,3.0,0,40.0,6.0,1,0.9411764705882352,0.0588235294117647,0,0.3942657253060457
2026-04-01T17:18:46.968873+00:00,American Airlines,514,190.86,8350.58,44,470,512.0,2.0,0,35.0,7.0,1,0.914396887159533,0.0856031128404669,1,0.7810494007543514
2026-04-01T17:18:46.968873+00:00,British Airways,86,194.48,8674.95,5,81,84.0,2.0,0,22.0,9.0,1,0.9418604651162792,0.0581395348837209,0,0.32254375367855226
2026-04-01T17:18:46.968873+00:00,Cathay Pacific,94,85.48,3178.44,9,85,98.0,-4.0,0,20.0,5.0,1,0.9042553191489362,0.0957446808510638,1,0.6561711054046272
2026-04-01T17:18:46.968873+00:00,Delta Air Lines,506,194.75,8613.41,39,467,512.0,-6.0,1,63.0,6.0,1,0.9229249011857708,0.0770750988142292,1,0.8636267446916489
2026-04-01T17:18:46.968873+00:00,Emirates,58,240.02,10352.18,2,56,57.0,1.0,0,36.0,8.0,1,0.9655172413793104,0.0344827586206896,0,0.2549016155471275
2026-04-01T17:18:46.968873+00:00,Etihad Airways,14,235.19,10039.89,0,14,16.0,-2.0,0,19.0,7.0,1,1.0,0.0,0,0.1588402198062894
2026-04-01T17:18:46.968873+00:00,IndiGo,73,175.28,6968.49,6,67,78.0,-5.0,1,62.0,9.0,1,0.9178082191780822,0.0821917808219178,1,0.5965811488198914
2026-04-01T17:18:46.968873+00:00,Japan Airlines,11,199.83,8878.06,1,10,11.0,0.0,0,23.0,8.0,1,0.9090909090909092,0.0909090909090909,0,0.10488047205579443
2026-04-01T17:18:46.968873+00:00,KLM,82,169.86,7719.5,12,70,83.0,-1.0,0,52.0,6.0,1,0.8536585365853658,0.1463414634146341,1,0.5389289523851032
2026-04-01T17:18:46.968873+00:00,Lufthansa,122,178.44,7858.49,11,111,126.0,-4.0,0,34.0,6.0,1,0.9098360655737704,0.0901639344262295,1,0.533723440266916
2026-04-01T17:18:46.968873+00:00,Qantas,12,200.83,6198.87,0,12,12.0,0.0,0,23.0,8.0,1,1.0,0.0,0,0.15597380292086807
2026-04-01T17:18:46.968873+00:00,Qatar Airways,28,233.68,9802.71,1,27,27.0,1.0,0,14.0,4.0,1,0.9642857142857144,0.0357142857142857,0,0.06378548452059578
2026-04-01T17:18:46.968873+00:00,Singapore Airlines,25,233.97,10410.25,2,23,24.0,1.0,0,23.0,7.0,1,0.92,0.08,0,0.25761900232450363
2026-04-01T17:18:46.968873+00:00,SpiceJet,10,163.76,6398.51,0,10,9.0,1.0,0,4.0,2.0,1,1.0,0.0,0,0.24144112115320868
2026-04-01T17:18:46.968873+00:00,Thai Airways,17,113.94,4024.26,2,15,21.0,-4.0,0,0.0,0.0,0,0.8823529411764706,0.1176470588235294,0,0.01370726073830273
2026-04-01T17:18:46.968873+00:00,Turkish Airlines,127,200.53,8977.93,6,121,120.0,7.0,1,10.0,6.0,1,0.952755905511811,0.0472440944881889,1,0.6623757759588162
2026-04-01T17:18:46.968873+00:00,United Airlines,474,192.57,8766.04,50,424,471.0,3.0,0,35.0,7.0,1,0.8945147679324894,0.1054852320675105,1,0.8928460216879613
2026-04-01T17:23:54.240464+00:00,ANA,13,223.73,10260.33,1,12,14.0,-1.0,0,27.0,6.0,1,0.9230769230769232,0.0769230769230769,0,0.16479367645739312
2026-04-01T17:23:54.240464+00:00,Air France,94,175.77,7584.09,7,87,94.0,0.0,0,41.0,8.0,1,0.925531914893617,0.0744680851063829,0,0.45257155218413997
2026-04-01T17:23:54.240464+00:00,Air India,51,190.27,8789.17,5,46,51.0,0.0,0,40.0,6.0,1,0.9019607843137256,0.0980392156862745,0,0.37687175490414127
2026-04-01T17:23:54.240464+00:00,American Airlines,517,189.3,8424.01,51,466,514.0,3.0,0,35.0,7.0,1,0.9013539651837524,0.0986460348162475,1,0.8289107006524957
2026-04-01T17:23:54.240464+00:00,British Airways,86,199.77,8819.55,3,83,86.0,0.0,0,22.0,9.0,1,0.9651162790697676,0.0348837209302325,0,0.30377980155172196
2026-04-01T17:23:54.240464+00:00,Cathay Pacific,97,88.56,3402.2,12,85,94.0,3.0,0,20.0,5.0,1,0.8762886597938144,0.1237113402061855,1,0.6540503619097581
2026-04-01T17:23:54.240464+00:00,Delta Air Lines,493,194.75,8733.64,42,451,506.0,-13.0,1,63.0,6.0,1,0.9148073022312372,0.0851926977687626,1,0.8731635700093433
2026-04-01T17:23:54.240464+00:00,Emirates,58,236.0,9980.57,2,56,58.0,0.0,0,36.0,8.0,1,0.9655172413793104,0.0344827586206896,0,0.27144576149115845
2026-04-01T17:23:54.240464+00:00,Etihad Airways,16,226.45,9586.91,0,16,14.0,2.0,0,19.0,7.0,1,1.0,0.0,0,0.17979310140436114
2026-04-01T17:23:54.240464+00:00,IndiGo,71,172.67,6838.14,7,64,73.0,-2.0,0,62.0,9.0,1,0.9014084507042254,0.0985915492957746,1,0.6036556212481893
2026-04-01T17:23:54.240464+00:00,Japan Airlines,12,230.45,8987.79,0,12,11.0,1.0,0,23.0,8.0,1,1.0,0.0,0,0.09874166377716753
2026-04-01T17:23:54.240464+00:00,KLM,81,164.65,6843.3,10,71,82.0,-1.0,0,52.0,6.0,1,0.8765432098765432,0.1234567901234567,1,0.5730747825577609
2026-04-01T17:23:54.240464+00:00,Lufthansa,117,181.6,8029.98,10,107,122.0,-5.0,1,34.0,6.0,1,0.9145299145299144,0.0854700854700854,1,0.5105752226892383
