ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,total_route_flights,distinct_departure_hubs,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-04-01T17:23:54.240464+00:00,Air France,94,175.77,7584.09,7,87,94.0,0.0,0,41.0,8.0,1,0.925531914893617,0.07446808510638298
2026-04-01T17:23:54.240464+00:00,Air India,51,190.27,8789.17,5,46,51.0,0.0,0,40.0,6.0,1,0.9019607843137255,0.09803921568627451
2026-04-01T17:23:54.240464+00:00,American Airlines,517,189.3,8424.01,51,466,514.0,3.0,0,35.0,7.0,1,0.9013539651837524,0.09864603481624758
2026-04-01T17:23:54.240464+00:00,British Airways,86,199.77,8819.55,3,83,86.0,0.0,0,22.0,9.0,1,0.9651162790697675,0.03488372093023256
2026-04-01T17:23:54.240464+00:00,Cathay Pacific,97,88.56,3402.2,12,85,94.0,3.0,0,20.0,5.0,1,0.8762886597938144,0.12371134020618557
2026-04-01T17:23:54.240464+00:00,Delta Air Lines,493,194.75,8733.64,42,451,506.0,-13.0,1,63.0,6.0,1,0.9148073022312373,0.08519269776876268
2026-04-01T17:23:54.240464+00:00,Emirates,58,236.0,9980.57,2,56,58.0,0.0,0,36.0,8.0,1,0.9655172413793104,0.034482758620689655
2026-04-01T17:23:54.240464+00:00,Etihad Airways,16,226.45,9586.91,0,16,14.0,2.0,0,19.0,7.0,1,1.0,0.0
2026-04-01T17:23:54.240464+00:00,IndiGo,71,172.67,6838.14,7,64,73.0,-2.0,0,62.0,9.0,1,0.9014084507042254,0.09859154929577464
2026-04-01T17:23:54.240464+00:00,Japan Airlines,12,230.45,8987.79,0,12,11.0,1.0,0,23.0,8.0,1,1.0,0.0
2026-04-01T17:23:54.240464+00:00,KLM,81,164.65,6843.3,10,71,82.0,-1.0,0,52.0,6.0,1,0.8765432098765432,0.12345679012345678
2026-04-01T17:23:54.240464+00:00,Lufthansa,117,181.6,8029.98,10,107,122.0,-5.0,1,34.0,6.0,1,0.9145299145299145,0.08547008547008547
2026-04-01T17:23:54.240464+00:00,Qantas,14,202.79,7070.82,0,14,12.0,2.0,0,23.0,8.0,1,1.0,0.0
2026-04-01T17:23:54.240464+00:00,Qatar Airways,28,245.47,10198.95,1,27,28.0,0.0,0,14.0,4.0,1,0.9642857142857143,0.03571428571428571
2026-04-01T17:23:54.240464+00:00,Singapore Airlines,23,252.96,10294.62,0,23,25.0,-2.0,0,23.0,7.0,1,1.0,0.0
2026-04-01T17:23:54.240464+00:00,SpiceJet,10,141.4,7400.93,2,8,10.0,0.0,0,4.0,2.0,1,0.8,0.2
2026-04-01T17:23:54.240464+00:00,Thai Airways,19,144.49,5500.44,0,19,17.0,2.0,0,0.0,0.0,0,1.0,0.0
2026-04-01T17:23:54.240464+00:00,Turkish Airlines,128,201.26,9133.11,7,121,127.0,1.0,0,10.0,6.0,1,0.9453125,0.0546875
2026-04-01T17:23:54.240464+00:00,United Airlines,482,187.35,8511.65,55,427,474.0,8.0,1,35.0,7.0,1,0.8858921161825726,0.11410788381742738
2026-04-06T16:59:34.721135+00:00,ANA,19,201.34,7810.5,0,19,13.0,6.0,1,27.0,6.0,1,1.0,0.0
2026-04-06T16:59:34.721135+00:00,Air France,92,176.57,8169.27,7,85,94.0,-2.0,0,41.0,8.0,1,0.9239130434782609,0.07608695652173914
2026-04-06T16:59:34.721135+00:00,Air India,66,177.08,7189.59,4,62,51.0,15.0,1,40.0,6.0,1,0.9393939393939394,0.06060606060606061
2026-04-06T16:59:34.721135+00:00,American Airlines,546,190.21,8573.03,46,500,517.0,29.0,1,35.0,7.0,1,0.9157509157509157,0.08424908424908426
2026-04-06T16:59:34.721135+00:00,British Airways,84,198.23,7818.76,0,84,86.0,-2.0,0,22.0,9.0,1,1.0,0.0
2026-04-06T16:59:34.721135+00:00,Cathay Pacific,118,84.63,2886.68,7,111,97.0,21.0,1,20.0,5.0,1,0.940677966101695,0.059322033898305086
2026-04-06T16:59:34.721135+00:00,Delta Air Lines,458,192.44,8550.59,39,419,493.0,-35.0,1,63.0,6.0,1,0.9148471615720524,0.0851528384279476
2026-04-06T16:59:34.721135+00:00,Emirates,44,231.82,9539.2,0,44,58.0,-14.0,1,36.0,8.0,1,1.0,0.0
2026-04-06T16:59:34.721135+00:00,Etihad Airways,21,236.46,10190.84,0,21,16.0,5.0,1,19.0,7.0,1,1.0,0.0
2026-04-06T16:59:34.721135+00:00,IndiGo,84,159.36,6201.72,7,77,71.0,13.0,1,62.0,9.0,1,0.9166666666666666,0.08333333333333333
2026-04-06T16:59:34.721135+00:00,Japan Airlines,11,152.02,8757.29,3,8,12.0,-1.0,0,23.0,8.0,1,0.7272727272727273,0.2727272727272727
2026-04-06T16:59:34.721135+00:00,KLM,85,186.14,8182.72,6,79,81.0,4.0,0,52.0,6.0,1,0.9294117647058824,0.07058823529411765
2026-04-06T16:59:34.721135+00:00,Lufthansa,123,190.15,8140.83,9,114,117.0,6.0,1,34.0,6.0,1,0.926829268292683,0.07317073170731707
2026-04-06T16:59:34.721135+00:00,Qantas,6,251.0,10598.15,0,6,14.0,-8.0,1,23.0,8.0,1,1.0,0.0
2026-04-06T16:59:34.721135+00:00,Qatar Airways,24,236.83,9271.64,0,24,28.0,-4.0,0,14.0,4.0,1,1.0,0.0
2026-04-06T16:59:34.721135+00:00,Singapore Airlines,23,252.64,9629.69,0,23,23.0,0.0,0,23.0,7.0,1,1.0,0.0
