icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,mapped_airline
39bdab,AFR63TL,France,1774544986.0,1774544987,19.269,51.9492,7642.86,False,194.64,255.93,5.53,,7421.88,1000.0,False,0,Air France
aa7ec2,UAL1439,United States,1774544869.0,1774544869,-118.1598,38.411,10431.78,False,265.39,80.63,3.58,,10767.06,,False,0,United Airlines
a1314e,AAL2496,United States,1774544986.0,1774544986,-105.0464,37.4177,9128.76,False,221.76,307.93,0.33,,9540.24,2224.0,False,0,American Airlines
a0116f,AIP347,United States,1774544985.0,1774544985,-111.0812,33.7411,4709.16,False,126.2,67.72,3.25,,4930.14,,False,0,Air India
39bda6,AFR96WJ,France,1774544986.0,1774544986,12.7182,55.7939,10972.8,False,235.15,229.97,0.0,,10660.38,3524.0,False,0,Air France
a56dcf,UAL2605,United States,1774544985.0,1774544986,-84.8106,33.9771,3573.78,False,183.51,141.72,-1.3,,3749.04,5607.0,False,0,United Airlines
39bdb2,AFR36SP,France,1774544984.0,1774544984,8.5581,47.4517,,True,0.0,185.62,,,,1000.0,False,0,Air France
39bdb4,AFR86TR,France,1774544986.0,1774544986,6.1034,50.2621,11132.82,False,205.68,37.07,3.25,,10972.8,3336.0,False,0,Air France
39bdb8,AFR1069,France,1774544986.0,1774544986,-2.2737,53.3551,,True,6.43,140.62,,,,,False,0,Air France
ad1c11,AAL1527,United States,1774544986.0,1774544986,-79.0193,25.3473,7917.18,False,224.98,112.17,6.83,,8244.84,,False,0,American Airlines
acfc05,DAL1590,United States,1774544986.0,1774544986,-81.3907,37.0432,9113.52,False,230.49,352.3,9.1,,9448.8,5713.0,False,0,Delta Air Lines
a4077d,DAL2787,United States,1774544985.0,1774544985,-98.111,41.443,11277.6,False,270.0,69.94,0.0,,11612.88,6542.0,False,0,Delta Air Lines
0b410f,TGELI,Guatemala,1774544986.0,1774544986,-90.3762,14.6429,1851.66,False,74.44,246.8,-0.98,,1927.86,2740.0,False,0,Thai Airways
ad83b7,DAL2681,United States,1774544986.0,1774544987,-87.4063,39.6036,10050.78,False,247.8,170.44,0.0,,10386.06,1316.0,False,0,Delta Air Lines
ac76f2,DAL1325,United States,1774544986.0,1774544986,-80.9028,31.7224,10058.4,False,227.87,34.05,0.0,,10454.64,1377.0,False,0,Delta Air Lines
a9942e,AAL1095,United States,1774544986.0,1774544986,-80.4885,25.8944,1074.42,False,90.55,119.62,-5.2,,1158.24,6456.0,False,0,American Airlines
4ba956,THY1,Turkey,1774544985.0,1774544986,-20.2044,64.0236,10363.2,False,236.82,274.36,0.33,,9944.1,,False,0,Turkish Airlines
ab4489,DAL1510,United States,1774544986.0,1774544986,-82.495,28.6228,9753.6,False,238.63,327.68,0.0,,10180.32,2123.0,False,0,Delta Air Lines
a023a5,AAL12,United States,1774544986.0,1774544986,-101.9657,41.6076,10652.76,False,268.3,69.34,0.0,,10980.42,2415.0,False,0,American Airlines
