ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,departure_iata,route_flights,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-03-27T17:59:21.582426+00:00,United Airlines,460,200.78,8885.28,35,425,460.0,0.0,0,FRA,14.0,1,0.9239130434782609,0.07608695652173914
2026-03-27T17:59:21.582426+00:00,United Airlines,460,200.78,8885.28,35,425,460.0,0.0,0,JFK,3.0,1,0.9239130434782609,0.07608695652173914
2026-03-27T17:59:21.582426+00:00,United Airlines,460,200.78,8885.28,35,425,460.0,0.0,0,LAX,10.0,1,0.9239130434782609,0.07608695652173914
2026-03-27T17:59:21.582426+00:00,United Airlines,460,200.78,8885.28,35,425,460.0,0.0,0,LHR,4.0,1,0.9239130434782609,0.07608695652173914
2026-03-27T17:59:21.582426+00:00,United Airlines,460,200.78,8885.28,35,425,460.0,0.0,0,ORD,2.0,1,0.9239130434782609,0.07608695652173914
2026-04-01T16:53:17.302897+00:00,ANA,19,178.62,6453.29,1,18,15.0,4.0,0,BKK,1.0,1,0.9473684210526315,0.05263157894736842
2026-04-01T16:53:17.302897+00:00,ANA,19,178.62,6453.29,1,18,15.0,4.0,0,FRA,1.0,1,0.9473684210526315,0.05263157894736842
2026-04-01T16:53:17.302897+00:00,ANA,19,178.62,6453.29,1,18,15.0,4.0,0,JFK,2.0,1,0.9473684210526315,0.05263157894736842
2026-04-01T16:53:17.302897+00:00,ANA,19,178.62,6453.29,1,18,15.0,4.0,0,LAX,1.0,1,0.9473684210526315,0.05263157894736842
2026-04-01T16:53:17.302897+00:00,ANA,19,178.62,6453.29,1,18,15.0,4.0,0,ORD,19.0,1,0.9473684210526315,0.05263157894736842
2026-04-01T16:53:17.302897+00:00,ANA,19,178.62,6453.29,1,18,15.0,4.0,0,SIN,3.0,1,0.9473684210526315,0.05263157894736842
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,AMS,14.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,BKK,1.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,BOM,1.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,CDG,14.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,DEL,5.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,FRA,1.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,LHR,1.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air France,91,183.92,8010.41,6,85,67.0,24.0,1,SIN,4.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:53:17.302897+00:00,Air India,67,172.78,7593.52,8,59,55.0,12.0,1,BKK,1.0,1,0.8805970149253731,0.11940298507462686
2026-04-01T16:53:17.302897+00:00,Air India,67,172.78,7593.52,8,59,55.0,12.0,1,BOM,14.0,1,0.8805970149253731,0.11940298507462686
2026-04-01T16:53:17.302897+00:00,Air India,67,172.78,7593.52,8,59,55.0,12.0,1,CDG,1.0,1,0.8805970149253731,0.11940298507462686
2026-04-01T16:53:17.302897+00:00,Air India,67,172.78,7593.52,8,59,55.0,12.0,1,DEL,18.0,1,0.8805970149253731,0.11940298507462686
2026-04-01T16:53:17.302897+00:00,Air India,67,172.78,7593.52,8,59,55.0,12.0,1,FRA,1.0,1,0.8805970149253731,0.11940298507462686
2026-04-01T16:53:17.302897+00:00,Air India,67,172.78,7593.52,8,59,55.0,12.0,1,SIN,5.0,1,0.8805970149253731,0.11940298507462686
2026-04-01T16:53:17.302897+00:00,American Airlines,531,191.04,8551.53,52,479,545.0,-14.0,1,AMS,1.0,1,0.9020715630885122,0.09792843691148775
2026-04-01T16:53:17.302897+00:00,American Airlines,531,191.04,8551.53,52,479,545.0,-14.0,1,CDG,1.0,1,0.9020715630885122,0.09792843691148775
